month,T_max,T_min,Humidity_1,Humidity_2,WindSpeed,Sunshine Hours
2.0,32.0,23.0,89.0,47.0,5.04,7.0
2.0,32.5,23.0,90.0,45.0,4.61,5.3
2.0,32.0,22.0,89.0,40.0,4.26,8.3
2.0,32.0,23.0,91.0,38.0,5.32,9.0
2.0,34.0,23.0,90.0,39.0,4.24,8.3
2.0,30.0,22.0,80.0,39.0,3.49,7.0
2.0,34.0,23.0,80.0,43.0,4.56,8.0
2.0,34.0,24.0,82.0,40.0,5.13,7.0
2.0,34.0,22.0,81.0,46.0,4.37,6.0
2.0,32.0,26.0,91.0,47.0,5.0,7.0
2.0,32.0,23.0,81.0,40.0,3.66,7.3
2.0,31.0,21.0,91.0,39.0,4.73,8.0
2.0,32.0,21.0,91.0,38.0,5.78,8.4
2.0,33.0,24.0,81.0,43.0,4.31,8.3
2.0,31.0,22.0,86.0,41.0,6.83,6.0
2.0,34.0,21.0,82.0,40.0,7.93,6.3
2.0,34.0,23.0,91.0,42.0,7.16,8.0
2.0,32.0,22.0,86.0,36.0,4.89,9.0
2.0,31.0,20.0,88.0,38.0,5.16,7.0
2.0,31.0,21.0,88.0,38.0,5.26,7.0
2.0,34.0,25.0,82.0,42.0,4.33,8.0
2.0,34.0,26.0,92.0,44.0,4.0,7.3
2.0,35.0,24.0,91.0,48.0,5.44,6.0
2.0,34.0,25.0,90.0,51.0,4.87,4.0
2.0,33.0,24.0,91.0,41.0,5.6,7.3
2.0,33.0,25.0,82.0,41.0,5.11,8.2
2.0,33.0,24.0,91.0,45.0,6.33,7.4
2.0,35.0,22.0,83.0,42.0,6.25,8.0
3.0,34.0,21.0,91.0,46.0,6.28,9.0
3.0,34.0,24.0,91.0,42.0,6.93,8.0
3.0,35.0,23.0,82.0,40.0,5.35,9.0
3.0,35.0,20.0,91.0,45.0,5.88,9.3
3.0,36.0,21.0,88.0,39.0,5.81,8.0
3.0,37.0,21.0,81.0,44.0,5.64,9.0
3.0,36.0,20.0,78.0,45.0,6.73,8.0
3.0,37.0,20.0,91.0,47.0,6.1,8.0
3.0,37.0,20.0,81.0,41.0,6.24,9.0
3.0,37.0,20.0,82.0,40.0,7.8,8.3
3.0,36.0,21.0,91.0,47.0,7.62,9.0
3.0,36.0,22.0,88.0,45.0,6.83,9.3
3.0,37.0,23.0,91.0,49.0,5.26,9.0
3.0,37.0,21.0,87.0,46.0,5.63,10.0
3.0,38.0,22.0,91.0,46.0,8.12,7.0
3.0,36.0,23.0,91.0,46.0,5.06,9.3
3.0,36.0,23.0,84.0,43.0,6.75,9.0
